epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,95.9375,2.45128,3.17517,1.50558,1.07456,0,0.37887,0.35541,0.27766,0.09382,0.34429,0.33353,0.25015,0.07092,2.45844,3.29785,1.57699,1.12291,0,0.0014654,0.0014654,0.0014654
29,99.3763,2.4404,3.13509,1.50588,1.07239,0,0.38257,0.37369,0.29629,0.09762,0.30235,0.30442,0.21469,0.05811,2.42564,3.27163,1.55262,1.1204,0,0.0014456,0.0014456,0.0014456
30,102.769,2.43549,3.14891,1.50479,1.07637,0,0.36054,0.34361,0.26012,0.09181,0.31699,0.28522,0.20581,0.05882,2.45901,3.5333,1.65834,1.16529,0,0.0014258,0.0014258,0.0014258
31,106.22,2.4244,3.10117,1.48902,1.06822,0,0.39796,0.34866,0.28015,0.09513,0.30176,0.30733,0.21161,0.05784,2.44649,3.36035,1.59683,1.13423,0,0.001406,0.001406,0.001406
32,109.661,2.41961,3.11304,1.51311,1.07069,0,0.39558,0.35972,0.29988,0.10177,0.3053,0.31234,0.21481,0.05547,2.42833,3.30718,1.53015,1.11724,0,0.0013862,0.0013862,0.0013862
33,113.117,2.38872,3.12314,1.4896,1.07723,0,0.39912,0.36088,0.30067,0.10167,0.32188,0.32105,0.23277,0.06513,2.48926,3.37609,1.62698,1.10618,0,0.0013664,0.0013664,0.0013664
34,116.517,2.40244,3.14659,1.4853,1.07929,0,0.39713,0.36787,0.29369,0.09786,0.36125,0.34109,0.25259,0.07097,2.4562,3.31328,1.57506,1.12835,0,0.0013466,0.0013466,0.0013466
35,119.936,2.35255,3.10216,1.46009,1.07006,0,0.39743,0.37136,0.31028,0.10544,0.31735,0.31257,0.22398,0.05986,2.4563,3.28144,1.53,1.11296,0,0.0013268,0.0013268,0.0013268
36,123.354,2.38755,3.20118,1.48959,1.08321,0,0.40936,0.34049,0.28889,0.09464,0.34935,0.2986,0.23095,0.0644,2.43438,3.40249,1.60821,1.14182,0,0.001307,0.001307,0.001307
37,126.817,2.35377,3.11152,1.45385,1.07667,0,0.38716,0.36903,0.2921,0.09749,0.30534,0.34633,0.22937,0.06552,2.45179,3.29347,1.55964,1.1152,0,0.0012872,0.0012872,0.0012872
38,130.235,2.44145,3.09485,1.48493,1.0672,0,0.39728,0.38126,0.31807,0.11049,0.3552,0.36147,0.27593,0.08462,2.38136,3.1834,1.58413,1.11712,0,0.0012674,0.0012674,0.0012674
39,133.698,2.35845,3.05276,1.47305,1.06955,0,0.40155,0.35424,0.29749,0.09993,0.31619,0.32538,0.22751,0.06143,2.42407,3.40504,1.52307,1.1417,0,0.0012476,0.0012476,0.0012476
40,137.088,2.33378,3.05825,1.45451,1.06149,0,0.41884,0.38533,0.31669,0.1086,0.34949,0.33702,0.24758,0.0681,2.39926,3.34155,1.50529,1.11427,0,0.0012278,0.0012278,0.0012278
41,140.507,2.39439,3.07725,1.45488,1.06532,0,0.43679,0.37951,0.32647,0.11104,0.33883,0.32014,0.22955,0.06596,2.42581,3.3801,1.52818,1.10836,0,0.001208,0.001208,0.001208
42,143.877,2.38655,3.04623,1.46797,1.06812,0,0.39353,0.37951,0.30935,0.10474,0.33029,0.33003,0.24038,0.06822,2.40638,3.25478,1.55387,1.1078,0,0.0011882,0.0011882,0.0011882
