epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,85.8439,2.37376,3.15485,1.48709,1.09441,0,0.38639,0.36679,0.30161,0.09917,0.31627,0.29866,0.2214,0.0566,2.44317,3.39232,1.53283,1.18315,0,0.0014654,0.0014654,0.0014654
29,88.7558,2.37186,3.17292,1.46321,1.08574,0,0.38212,0.35737,0.2902,0.09737,0.31111,0.30535,0.21307,0.05416,2.42264,3.34762,1.55344,1.1579,0,0.0014456,0.0014456,0.0014456
30,91.6736,2.36549,3.09633,1.44564,1.07498,0,0.4129,0.36131,0.31462,0.10667,0.33816,0.29075,0.2226,0.06074,2.35064,3.46593,1.53482,1.1365,0,0.0014258,0.0014258,0.0014258
31,94.6408,2.34924,3.12903,1.44155,1.07491,0,0.39639,0.38747,0.32186,0.10746,0.3321,0.31485,0.23188,0.06426,2.40509,3.38118,1.66583,1.16352,0,0.001406,0.001406,0.001406
32,97.5397,2.36451,3.09099,1.45491,1.07005,0,0.4012,0.36131,0.30067,0.1033,0.34214,0.30657,0.23598,0.06625,2.37007,3.41382,1.53889,1.16058,0,0.0013862,0.0013862,0.0013862
33,100.421,2.40573,3.11156,1.46414,1.07319,0,0.35266,0.32786,0.26844,0.08911,0.32688,0.31204,0.23838,0.06636,2.41436,3.3228,1.76222,1.17441,0,0.0013664,0.0013664,0.0013664
34,103.499,2.39105,3.09479,1.47277,1.06969,0,0.43763,0.34976,0.31717,0.1059,0.32274,0.31045,0.21971,0.05656,2.40404,3.28889,1.5525,1.14008,0,0.0013466,0.0013466,0.0013466
35,106.614,2.33233,3.12517,1.44746,1.07391,0,0.37956,0.34063,0.27491,0.09467,0.33192,0.31581,0.22922,0.06085,2.39105,3.41231,1.64688,1.16929,0,0.0013268,0.0013268,0.0013268
36,109.694,2.37025,3.14337,1.47275,1.08454,0,0.40088,0.35523,0.29911,0.10347,0.34394,0.31813,0.23817,0.06548,2.36856,3.3432,1.50192,1.15627,0,0.001307,0.001307,0.001307
37,112.726,2.34493,3.08128,1.44267,1.06309,0,0.39915,0.36496,0.31134,0.11426,0.34815,0.33151,0.26492,0.07545,2.32483,3.28242,1.52366,1.15631,0,0.0012872,0.0012872,0.0012872
38,115.756,2.36091,3.06343,1.44571,1.06802,0,0.43103,0.3562,0.31969,0.11264,0.35867,0.30779,0.25357,0.06887,2.34237,3.37295,1.50822,1.14928,0,0.0012674,0.0012674,0.0012674
39,118.746,2.33394,3.07135,1.4472,1.06684,0,0.37905,0.37094,0.2912,0.09824,0.33707,0.33455,0.24075,0.06889,2.36457,3.36967,1.56258,1.14909,0,0.0012476,0.0012476,0.0012476
40,121.776,2.28615,3.05521,1.41615,1.06334,0,0.40065,0.37165,0.30749,0.10371,0.31951,0.33151,0.23762,0.06556,2.37012,3.36022,1.56575,1.15684,0,0.0012278,0.0012278,0.0012278
41,124.647,2.32667,3.03681,1.43307,1.07351,0,0.37225,0.32908,0.26012,0.08544,0.31612,0.29866,0.20985,0.05445,2.47101,3.35708,1.60973,1.14017,0,0.001208,0.001208,0.001208
42,127.525,2.29338,3.06197,1.4231,1.07189,0,0.41027,0.36054,0.30781,0.10936,0.3271,0.30535,0.22437,0.06064,2.317,3.59397,1.51669,1.16052,0,0.0011882,0.0011882,0.0011882
43,130.632,2.30225,3.0419,1.41098,1.06581,0,0.40238,0.35549,0.30729,0.10956,0.34504,0.36922,0.26892,0.07798,2.32653,3.22357,1.53698,1.15657,0,0.0011684,0.0011684,0.0011684
44,133.567,2.32654,3.08502,1.43643,1.06438,0,0.45811,0.35158,0.31548,0.11403,0.36897,0.30718,0.25331,0.07232,2.29296,3.34502,1.53345,1.15331,0,0.0011486,0.0011486,0.0011486
45,136.468,2.33131,3.06858,1.41821,1.07069,0,0.4287,0.37652,0.32137,0.1154,0.35642,0.3528,0.27668,0.07764,2.28531,3.23012,1.51008,1.14532,0,0.0011288,0.0011288,0.0011288
46,139.402,2.31598,3.01223,1.41895,1.06588,0,0.41611,0.35888,0.31571,0.10505,0.35473,0.30839,0.23285,0.0657,2.36977,3.30146,1.56404,1.12171,0,0.001109,0.001109,0.001109
47,142.33,2.30455,3.02427,1.41727,1.06399,0,0.40041,0.35219,0.30587,0.11152,0.3207,0.31022,0.23023,0.06182,2.33083,3.41398,1.50884,1.11965,0,0.0010892,0.0010892,0.0010892
48,145.273,2.29533,3.02869,1.3964,1.06071,0,0.38773,0.39294,0.31343,0.1085,0.34442,0.32238,0.24437,0.06414,2.32545,3.30963,1.53318,1.1468,0,0.0010694,0.0010694,0.0010694
49,148.22,2.29204,3.0564,1.41573,1.06541,0,0.41169,0.37044,0.31427,0.11016,0.34839,0.34082,0.25378,0.07238,2.34778,3.20033,1.51547,1.14063,0,0.0010496,0.0010496,0.0010496
50,151.126,2.30994,3.06146,1.40606,1.05986,0,0.40761,0.3826,0.31749,0.11247,0.34614,0.35462,0.26778,0.07717,2.2532,3.24783,1.56322,1.12263,0,0.0010298,0.0010298,0.0010298
51,154.074,2.25516,3.0537,1.38805,1.05201,0,0.44427,0.38869,0.33611,0.12004,0.37786,0.33323,0.26096,0.0732,2.28026,3.32661,1.52866,1.1446,0,0.00101,0.00101,0.00101
52,157.101,2.24338,3.03974,1.40021,1.05941,0,0.44026,0.3569,0.31822,0.11811,0.34472,0.31136,0.24594,0.07172,2.26451,3.28489,1.49013,1.12466,0,0.0009902,0.0009902,0.0009902
53,160.135,2.26721,3.04088,1.4005,1.05348,0,0.40571,0.40279,0.33059,0.12046,0.3566,0.31509,0.26499,0.07336,2.27189,3.30367,1.55107,1.15671,0,0.0009704,0.0009704,0.0009704
