epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,93.4109,2.43863,3.18801,1.50244,1.07278,0,0.34359,0.34542,0.2514,0.08689,0.30896,0.33641,0.22094,0.06128,2.44607,3.31115,1.60195,1.13977,0,0.0014654,0.0014654,0.0014654
29,96.6424,2.43476,3.11208,1.51194,1.08278,0,0.39577,0.35694,0.28932,0.09504,0.29809,0.30586,0.19743,0.05463,2.45927,3.29554,1.59468,1.11053,0,0.0014456,0.0014456,0.0014456
30,99.8915,2.4298,3.16571,1.50565,1.07684,0,0.38018,0.3437,0.27894,0.10014,0.32835,0.29411,0.22127,0.06317,2.44279,3.43002,1.57555,1.15465,0,0.0014258,0.0014258,0.0014258
31,103.161,2.41887,3.11553,1.49739,1.07918,0,0.385,0.36154,0.29099,0.10001,0.31346,0.30052,0.20787,0.0577,2.41397,3.31164,1.58296,1.12266,0,0.001406,0.001406,0.001406
32,106.411,2.42783,3.11274,1.51886,1.07979,0,0.41867,0.34953,0.30995,0.10692,0.3157,0.28497,0.21496,0.05851,2.41295,3.43556,1.5271,1.13713,0,0.0013862,0.0013862,0.0013862
33,109.831,2.40175,3.12791,1.49614,1.08738,0,0.40388,0.37824,0.30508,0.10701,0.33357,0.33564,0.24642,0.06692,2.38579,3.39857,1.57437,1.10648,0,0.0013664,0.0013664,0.0013664
34,113.128,2.42382,3.15609,1.49413,1.08955,0,0.36008,0.3506,0.25841,0.08379,0.33283,0.33967,0.22479,0.06016,2.48506,3.29369,1.64829,1.11571,0,0.0013466,0.0013466,0.0013466
35,116.378,2.34886,3.10704,1.46953,1.07327,0,0.41365,0.365,0.30681,0.10262,0.33302,0.31088,0.22831,0.06145,2.42301,3.27267,1.53813,1.12775,0,0.0013268,0.0013268,0.0013268
36,119.649,2.38591,3.17369,1.49137,1.08248,0,0.39422,0.36154,0.29117,0.10216,0.32368,0.29303,0.21963,0.06106,2.38324,3.43308,1.52915,1.15291,0,0.001307,0.001307,0.001307
37,122.937,2.36033,3.11589,1.46085,1.07853,0,0.39112,0.35694,0.29196,0.09627,0.33146,0.31318,0.23096,0.06143,2.42567,3.36098,1.58116,1.10882,0,0.0012872,0.0012872,0.0012872
38,126.217,2.44574,3.08758,1.49622,1.07582,0,0.40718,0.37709,0.30679,0.103,0.35448,0.33391,0.25423,0.07146,2.43399,3.21591,1.61752,1.10838,0,0.0012674,0.0012674,0.0012674
39,129.529,2.37746,3.07067,1.47867,1.06897,0,0.40262,0.36845,0.31024,0.10186,0.32551,0.31491,0.22762,0.06575,2.42022,3.27612,1.54193,1.11051,0,0.0012476,0.0012476,0.0012476
40,132.918,2.34659,3.04892,1.45496,1.0622,0,0.41581,0.38227,0.31829,0.11,0.36075,0.33506,0.26001,0.0741,2.3991,3.2932,1.55507,1.14214,0,0.0012278,0.0012278,0.0012278
41,136.259,2.36163,3.05905,1.45262,1.06645,0,0.37727,0.36971,0.29497,0.09808,0.30159,0.308,0.20772,0.05737,2.43505,3.32278,1.57566,1.1167,0,0.001208,0.001208,0.001208
42,139.607,2.39506,3.04969,1.47591,1.071,0,0.42364,0.37018,0.31307,0.10135,0.33206,0.30628,0.22963,0.06026,2.40693,3.31332,1.53788,1.12812,0,0.0011882,0.0011882,0.0011882
43,142.953,2.33436,3.08657,1.44261,1.06161,0,0.41869,0.38803,0.32279,0.10769,0.356,0.34197,0.26321,0.07595,2.38218,3.26587,1.58445,1.12497,0,0.0011684,0.0011684,0.0011684
44,146.263,2.39835,3.06482,1.44636,1.05633,0,0.40842,0.34773,0.2944,0.10027,0.34737,0.31164,0.24815,0.07231,2.42817,3.30961,1.55138,1.13753,0,0.0011486,0.0011486,0.0011486
45,149.601,2.33709,3.09596,1.44186,1.05821,0,0.4128,0.38687,0.32533,0.11263,0.34433,0.35827,0.25708,0.07239,2.38919,3.23098,1.52855,1.10967,0,0.0011288,0.0011288,0.0011288
